date,rms,median,mean
2013-05-16 22:00:00,671.901165,7769.449951,7712.890231
2013-05-17 22:00:00,618.412118,6636.124939,6624.845308
2013-05-18 22:00:00,679.198893,7718.324951,7666.248196
2012-12-04 23:00:00,1559.735146,8289.800049,7967.002364
2012-12-08 23:00:00,1558.747535,8192.589893,7878.446035
2013-01-07 23:00:00,1524.565986,7889.044434,7590.039355
2013-01-11 23:00:00,1561.024330,7803.566732,7546.038313
2013-01-12 23:00:00,1551.227726,7955.100098,7655.647183
2013-01-13 23:00:00,1557.091123,7929.733236,7638.564610
2013-01-14 23:00:00,1528.829824,7833.100098,7537.052991
2013-01-15 23:00:00,1505.223749,7727.980078,7439.593330
2013-01-17 23:00:00,1501.737717,7672.733317,7388.408816
2013-01-18 23:00:00,1519.771305,7549.914272,7285.892319
2013-01-19 23:00:00,1517.596206,7732.154608,7446.294727
2013-01-20 23:00:00,1517.053267,7761.650024,7474.216103
2013-01-22 23:00:00,1599.323723,8110.799805,7826.561816
2013-01-23 23:00:00,1552.987333,7928.260059,7630.594421
2013-01-24 23:00:00,1570.902982,7995.399902,7718.904071
2013-01-28 23:00:00,498.512011,7699.000000,7691.918082
2013-01-30 23:00:00,515.691320,7827.479980,7795.417111
2013-06-07 22:00:00,675.290762,7727.439941,7691.100887
2013-06-08 22:00:00,732.098339,7529.719922,7518.858578
2013-06-09 22:00:00,651.699721,7455.524902,7411.821250
2013-06-10 22:00:00,669.107657,7706.850098,7670.958630
2013-06-11 22:00:00,667.747339,7628.483398,7587.137328
2013-06-12 22:00:00,660.669401,7565.483317,7528.519744
2013-06-13 22:00:00,671.650404,7592.283285,7555.022650
2013-06-14 22:00:00,665.313257,7514.483398,7479.166506
2013-06-15 22:00:00,664.432521,7471.166667,7424.926818
2013-06-16 22:00:00,681.749677,7496.379980,7453.411145
2013-06-17 22:00:00,681.864848,7469.579980,7426.780557
2013-06-18 22:00:00,676.611571,7560.700195,7502.202068
2013-06-19 22:00:00,763.535337,7530.550049,7520.409767
2013-06-20 22:00:00,764.721106,7526.850098,7504.713131
2013-06-25 22:00:00,682.587720,7571.799805,7528.294908
2013-05-19 22:00:00,688.747833,7747.666667,7692.588415
2013-05-20 22:00:00,696.722063,7865.399902,7821.704904
2013-05-21 22:00:00,679.564973,7740.849854,7688.389509
2013-05-22 22:00:00,672.125161,7752.399902,7736.908279
2013-05-26 22:00:00,690.534553,7822.100098,7801.273437
2013-05-27 22:00:00,689.666792,7868.533366,7819.115171
2013-05-28 22:00:00,682.162941,7840.500000,7781.874999
2013-05-29 22:00:00,677.702841,7790.633301,7757.659449
2013-05-30 22:00:00,655.899054,7717.314314,7658.248713
2013-05-31 22:00:00,664.884144,7762.316650,7707.936238
2013-06-01 22:00:00,661.025824,7663.514230,7629.333899
2013-06-02 22:00:00,654.145819,7538.966634,7497.203124
2013-06-03 22:00:00,654.676902,7524.183431,7478.287551
2013-06-04 22:00:00,744.944565,7700.654519,7681.198161
2013-06-05 22:00:00,757.651196,7773.075012,7748.672282
2013-06-26 22:00:00,646.134909,7258.700195,7234.037252
2013-06-27 22:00:00,649.735700,7254.275024,7213.289290
2013-06-28 22:00:00,647.496159,7214.916667,7180.729595
2013-06-29 22:00:00,736.510413,7246.775024,7243.404282
2013-06-30 22:00:00,705.355807,7143.450073,7125.907579
2013-07-01 22:00:00,661.905580,7247.714216,7208.026606
2013-07-02 22:00:00,656.369772,7231.185686,7190.392895
2013-07-03 22:00:00,663.883679,7262.462463,7229.294742
2013-07-04 22:00:00,733.417019,7315.400024,7306.271415
2013-07-05 22:00:00,668.298188,7374.900024,7336.216149
2013-07-06 22:00:00,662.233768,7340.450114,7293.924173
2013-07-07 22:00:00,654.723107,7226.424988,7191.737332
2013-07-08 22:00:00,723.368972,7179.433350,7161.413024
2013-07-09 22:00:00,656.388766,7205.957171,7161.633837
2013-07-10 22:00:00,656.444211,7186.342913,7155.810701
2013-07-11 22:00:00,650.781061,7169.160059,7144.587664
2013-06-06 22:00:00,675.207296,7727.299927,7680.967352
2013-04-13 22:00:00,628.720636,7824.700000,7776.335029
2013-04-14 22:00:00,619.229483,7647.224976,7612.980365
2013-04-15 22:00:00,592.917587,6978.250122,6946.225248
2013-04-16 22:00:00,601.006763,7075.000000,7033.996152
2013-04-17 22:00:00,608.301415,7133.171422,7088.874781
2013-04-18 22:00:00,592.445774,6609.300049,6588.928610
2013-04-19 22:00:00,656.120745,7719.299805,7695.220496
2013-04-21 22:00:00,621.213559,7431.000000,7388.000912
2013-04-22 22:00:00,658.824473,7681.233398,7632.997694
2013-04-27 22:00:00,642.272046,7609.233236,7567.456818
2013-04-28 22:00:00,651.321560,7634.150024,7574.825262
2013-04-29 22:00:00,633.724361,7633.000122,7581.628944
2013-04-30 22:00:00,623.070183,7417.299967,7365.069649
2013-05-01 22:00:00,633.251418,7532.116618,7472.602261
2013-05-02 22:00:00,634.580369,7511.960059,7454.982640
2013-08-05 22:00:00,668.462682,7091.957031,7061.921821
2013-08-06 22:00:00,661.737153,7098.357213,7068.793305
2013-08-07 22:00:00,664.324122,7101.024963,7071.867072
2013-08-08 22:00:00,673.830263,7213.933350,7170.167118
2013-08-09 22:00:00,671.934858,7112.414342,7083.965214
2013-08-10 22:00:00,666.753029,7097.466715,7054.219393
2013-08-11 22:00:00,661.863384,7040.533312,7005.753041
2013-08-12 22:00:00,661.531777,7022.399902,6992.087810
2013-07-25 22:00:00,675.305809,7274.766764,7238.892107
2013-07-26 22:00:00,692.607529,7333.500000,7299.162774
2013-07-27 22:00:00,664.933132,7184.228585,7136.097210
2013-07-28 22:00:00,671.552880,7251.324951,7207.503705
2013-07-29 22:00:00,677.179883,7304.975098,7264.750724
2013-07-30 22:00:00,676.265541,7243.233317,7197.065061
2013-07-31 22:00:00,667.358692,7191.000000,7138.390170
2013-08-01 22:00:00,670.548545,7133.542899,7095.900670
2013-08-02 22:00:00,671.835679,7213.440039,7184.379902
2013-08-03 22:00:00,665.699297,7160.571359,7127.629809
2013-08-04 22:00:00,665.487004,7094.842983,7053.040771
2013-07-13 22:00:00,658.587832,7216.940039,7186.544909
2013-07-14 22:00:00,670.024736,7278.800049,7240.904431
2013-07-15 22:00:00,680.337612,7268.824951,7237.571341
2013-07-16 22:00:00,690.289141,7311.625000,7266.313379
2013-07-17 22:00:00,701.514507,7275.066732,7216.407574
2013-07-18 22:00:00,760.537971,7252.500000,7233.250236
2013-07-19 22:00:00,706.565405,7376.350098,7331.967421
2013-07-12 22:00:00,655.024102,7204.012512,7168.853524
2013-09-02 22:00:00,679.379381,7069.983398,7020.824990
2013-09-03 22:00:00,683.577620,7078.460059,7047.672975
2013-09-04 22:00:00,682.486308,7062.333333,7024.835017
2013-08-13 22:00:00,664.896989,7050.259961,7014.466087
2013-08-14 22:00:00,665.030876,7007.528530,6977.643817
2013-08-15 22:00:00,667.004218,6998.224976,6960.914414
2013-08-16 22:00:00,667.661358,7036.299967,6999.060508
2013-08-23 22:00:00,596.379574,5861.433431,5859.659258
2013-08-24 22:00:00,619.541421,6225.574951,6210.278729
2013-08-25 22:00:00,680.760904,7115.266764,7080.090921
2013-08-26 22:00:00,666.939469,7156.700195,7117.277528
2013-08-27 22:00:00,652.997744,6559.799979,6521.884944
2013-08-28 22:00:00,687.424210,6373.780029,6372.343348
2013-09-01 22:00:00,685.451056,7077.766683,7036.054985
2013-09-16 22:00:00,725.555409,7308.500000,7265.607314
2013-09-08 22:00:00,694.990227,7173.800049,7129.289332
2013-09-23 22:00:00,693.292962,7078.299805,7063.635130
2013-09-24 22:00:00,633.479102,5739.780078,5761.132687
2013-09-26 22:00:00,715.358189,7253.199978,7206.811657
2013-09-27 22:00:00,662.454865,6490.740039,6463.038366
2013-09-28 22:00:00,660.382528,6493.600057,6465.136670
2013-09-29 22:00:00,624.455689,5958.414237,5938.903105
2013-09-30 22:00:00,692.630042,7013.157087,6961.537948
